Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1991","1991","kg/ha","633","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1991","1991","t","523226.7","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1992","1992","ha","782506","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1992","1992","kg/ha","636.2","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1992","1992","t","497843.8","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1993","1993","ha","783862","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1993","1993","kg/ha","621.6","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1993","1993","t","487224.06","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1994","1994","ha","775162","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1994","1994","kg/ha","545.1","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1994","1994","t","422519.48","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1995","1995","ha","771886","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1995","1995","kg/ha","436.4","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1995","1995","t","336874.99","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1996","1996","ha","772622","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1996","1996","kg/ha","536","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1996","1996","t","414160.2","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1997","1997","ha","794911","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1997","1997","kg/ha","751.7","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1997","1997","t","597522.28","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1998","1998","ha","793566","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1998","1998","kg/ha","478.5","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1998","1998","t","379727.7","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1999","1999","ha","781533","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1999","1999","kg/ha","605","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1999","1999","t","472835.78","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2000","2000","ha","824686","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2000","2000","kg/ha","490.5","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2000","2000","t","404518.95","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2001","2001","ha","809097","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2001","2001","kg/ha","536.3","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2001","2001","t","433892.5","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2002","2002","ha","797273","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2002","2002","kg/ha","560.6","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2002","2002","t","446972.43","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2003","2003","ha","787384","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2003","2003","kg/ha","460.1","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2003","2003","t","362258.11","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2004","2004","ha","764386","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2004","2004","kg/ha","337.8","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2004","2004","t","258187.43","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2005","2005","ha","764741","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2005","2005","kg/ha","523.9","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2005","2005","t","400634.37","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2006","2006","ha","715493","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2006","2006","kg/ha","685.7","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2006","2006","t","490604.22","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2007","2007","ha","695683","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2007","2007","kg/ha","517","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2007","2007","t","359658.94","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2008","2008","ha","696168","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2008","2008","kg/ha","510.4","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2008","2008","t","355316.93","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2009","2009","ha","688853","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2009","2009","kg/ha","624.6","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2009","2009","t","430247.65","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2010","2010","ha","680073","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2010","2010","kg/ha","564.4","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2010","2010","t","383863.55","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2011","2011","ha","658300","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2011","2011","kg/ha","553.7","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2011","2011","t","364524.62","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2012","2012","ha","644121","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2012","2012","kg/ha","549.1","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2012","2012","t","353655.07","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","636431","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2013","2013","kg/ha","422","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2013","2013","t","268554.01","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","625287","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2014","2014","kg/ha","509.6","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2014","2014","t","318649.26","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","651926","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2015","2015","kg/ha","509.9","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2015","2015","t","332430.95","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","688342","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2016","2016","kg/ha","471.8","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2016","2016","t","324756.15","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","741916","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2017","2017","kg/ha","545.1","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2017","2017","t","404446.19","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","773309","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2018","2018","kg/ha","609.2","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2018","2018","t","471086.15","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","807621","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2019","2019","kg/ha","588.8","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2019","2019","t","475491.34","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","852354","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","659.7","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2020","2020","t","562306.9","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","879740","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","579.1","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2021","2021","t","509468.8","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","903937","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","455.8","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2022","2022","t","411977.68","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","2023","2023","ha","915561","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","530.7","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","2023","2023","t","485908.79","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","ha","6188","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","kg/ha","1880.7","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","t","11638","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","ha","6503","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","kg/ha","1968.6","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","t","12802","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","ha","6827","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","kg/ha","1781.3","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","t","12161","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","ha","6757","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","kg/ha","1852.9","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","t","12520","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","ha","7984","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","kg/ha","1453.9","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","t","11608","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","ha","10084","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","kg/ha","1155.3","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","t","11650","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","ha","7099","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","kg/ha","1600.4","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","t","11361","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","ha","6617","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","kg/ha","1878.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","t","12432","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1969","1969","ha","7617","A","Official figure",""
